workerId,pair,rating,event,eventCat,construction
A3U6IA3JUSFZ2M,1,1.0,kissing,PC,TRA
A3U6IA3JUSFZ2M,4,2.0,embracing,PC,INT
A3U6IA3JUSFZ2M,80,6.0,filler,filler,filler
A3U6IA3JUSFZ2M,3,2.0,hugging,PC,TRA
A3U6IA3JUSFZ2M,84,3.0,filler,filler,filler
A3U6IA3JUSFZ2M,64,1.0,filler,filler,filler
A3U6IA3JUSFZ2M,74,5.0,filler,filler,filler
A3U6IA3JUSFZ2M,1,1.0,advising,DM,INT
A3U6IA3JUSFZ2M,78,6.0,filler,filler,filler
A3U6IA3JUSFZ2M,68,6.0,filler,filler,filler
A3U6IA3JUSFZ2M,3,1.0,talking,DC,INT
A3U6IA3JUSFZ2M,4,5.0,encouraging,DM,TRA
A3U6IA3JUSFZ2M,7,1.0,thanking,DM,INT
A3U6IA3JUSFZ2M,6,1.0,poking,PC,INT
A3U6IA3JUSFZ2M,73,1.0,filler,filler,filler
A3U6IA3JUSFZ2M,5,2.0,recognizing,DM,INT
A3U6IA3JUSFZ2M,75,3.0,filler,filler,filler
A2H41RJTXE9I90,6,1.0,supporting,DM,TRA
A2H41RJTXE9I90,66,7.0,filler,filler,filler
A2H41RJTXE9I90,2,1.0,lecturing,DC,TRA
A2H41RJTXE9I90,76,7.0,filler,filler,filler
A2H41RJTXE9I90,5,1.0,cuddling,PC,TRA
A2H41RJTXE9I90,82,7.0,filler,filler,filler
A2H41RJTXE9I90,70,1.0,filler,filler,filler
A2H41RJTXE9I90,85,7.0,filler,filler,filler
A2H41RJTXE9I90,71,3.0,filler,filler,filler
A2H41RJTXE9I90,3,2.0,assuring,DM,INT
A2H41RJTXE9I90,1,6.0,scolding,DC,INT
A2H41RJTXE9I90,61,7.0,filler,filler,filler
A2H41RJTXE9I90,5,1.0,presenting,DC,INT
A2H41RJTXE9I90,87,2.0,filler,filler,filler
A2H41RJTXE9I90,63,1.0,filler,filler,filler
A2H41RJTXE9I90,79,7.0,filler,filler,filler
A2H41RJTXE9I90,72,6.0,filler,filler,filler
A2H41RJTXE9I90,83,3.0,filler,filler,filler
A2H41RJTXE9I90,86,7.0,filler,filler,filler
A2H41RJTXE9I90,6,1.0,addressing,DC,TRA
A2H41RJTXE9I90,2,1.0,assisting,DM,TRA
A2H41RJTXE9I90,69,3.0,filler,filler,filler
A2H41RJTXE9I90,7,1.0,shaking,PC,TRA
A2H41RJTXE9I90,62,1.0,filler,filler,filler
A2H41RJTXE9I90,65,6.0,filler,filler,filler
A2H41RJTXE9I90,2,1.0,kicking,PC,INT
A2H41RJTXE9I90,4,1.0,speaking,DC,TRA
A2H41RJTXE9I90,81,7.0,filler,filler,filler
A2H41RJTXE9I90,67,7.0,filler,filler,filler
A2H41RJTXE9I90,1,1.0,kissing,PC,TRA
